as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
25382,5529,DIAG-AS,Diag Dienstleistungen AG,En,1,2,512,0.00%,0.00%,0.00%,0
25382,14764,DIAG-AS,Diag Dienstleistungen AG,En,1,2,512,0.00%,0.00%,0.00%,0
25382,50718,HOCHSTRADE...,Herrmann Fabian,En,1,2,512,0.00%,0.00%,0.00%,0
25382,28690,ING-DIRECT-UK,ING DIRECT N.V.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,30821,HM-AS,HM,En,1,2,512,0.00%,0.00%,0.00%,0
25382,28865,ASN-SEKERBANK,Sekerbank Turk A.S.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,18520,ASN-SEKERBANK,Sekerbank Turk A.S.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,50623,Infotech,Infotech LLC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,18664,EMPIRE-HEAL,Empire Blue Cross Blue Shield,En,1,2,512,0.00%,0.00%,0.00%,0
25382,56092,MUDAH-MY,Suite 20.03 The Gardens South Tower,En,1,2,512,0.00%,0.00%,0.00%,0
25382,54296,GIBSON-ENERGY,Gibson Energy ULC,Tr/Ac,1,2,512,0.00%,0.00%,0.00%,0
25382,54689,UC-WILLIAM...,University of the Cumberlands,En,1,2,512,0.00%,0.00%,0.00%,0
25382,4879,ASBURYPARK...,ASBURY PARK PRESS,En,1,2,512,0.00%,0.00%,0.00%,0
25382,40687,SSIMSL-ASN,"State Street Investment Manager Solutions, LLC",En,1,2,512,0.00%,0.00%,0.00%,0
25382,44649,INTEGRASOF...,Integra Soft SRL,En,1,2,512,0.00%,0.00%,0.00%,0
25382,263160,(no data),Borrachas Vipal S.A.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,54391,CRUTCHFIELD,Crutchfield New Media LLC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,46630,CPRAIL,Canadian Pacific Railway Company,En,1,2,512,0.00%,0.00%,0.00%,0
25382,197171,MEGATEL-AS,MEGATEL Ltd.,En,1,2,512,0.00%,0.00%,0.00%,0
25382,24476,RPL-CANBER...,Southern Star,Co,1,2,512,0.00%,0.00%,0.00%,0
25382,55564,JETNET-AU,Jetlan,En,1,2,512,0.00%,0.00%,0.00%,0
25382,54397,LCS-CAMPUS,Lakefield College School,En,1,2,512,0.00%,0.00%,0.00%,0
25382,40711,INTERACTIV...,Interactive Brokers LLC,En,1,2,512,0.00%,0.00%,0.00%,0
25382,31902,OTS,Open Technology Solutions,En,1,2,512,0.00%,0.00%,0.00%,0
25382,30434,LOEWS,LOEWS CORPORATION,En,1,2,512,0.00%,0.00%,0.00%,0
28457,17600,ENVICO-AS-KR,Korea Environment & Resources Corporation,En,1,2,384,0.00%,0.00%,0.00%,0
28457,45375,AS45375,(no data),En,1,2,384,0.00%,0.00%,0.00%,0
28457,97,NTTA-97,"NTT America, Inc.",En,1,2,384,0.00%,0.00%,0.00%,0
28457,38429,BORYUNG-AS-KR,BRNETCOMM,En,1,2,384,0.00%,0.00%,0.00%,0
28457,29272,WARTA-AS,Towarzystwo Ubezpieczen i Reasekuracji WARTA S.A.,En,1,2,384,0.00%,0.00%,0.00%,0
28457,55603,KISA118,Korea Information Security Agency,En,1,2,384,0.00%,0.00%,0.00%,0
28457,9493,SHS-AS,"SHIN HEUNG SECURITIES CO., LTD.",En,1,2,384,0.00%,0.00%,0.00%,0
28457,25006,ABNATTRSVCAS,Abbey National Treasury services PLC,En,1,2,384,0.00%,0.00%,0.00%,0
28457,55611,DREAMNETWORK,SUDOKWON Landfill Site Management Corp,En,1,2,384,0.00%,0.00%,0.00%,0
28457,54830,CNI-NET,Colony Networks Inc,En,1,2,384,0.00%,0.00%,0.00%,0
28467,32837,WCL-50-AS,"Williams & Connolly, LLP",En,1,2,320,0.00%,0.00%,0.00%,1
28467,28035,(no data),BANCO SUPERVIELLE SOCIEDAD ANONIMA,En,1,2,320,0.00%,0.00%,0.00%,0
28467,4897,ECHO-LABS-LLC,ECHO Labs LLC,Tr/Ac,1,2,320,0.00%,0.00%,0.00%,0
28467,9854,KTO-AS-KR,KTO,En,1,2,320,0.00%,0.00%,0.00%,0
28467,58729,SHOWGROUP-AU,WTH Pty Ltd,En,1,2,320,0.00%,0.00%,0.00%,0
28467,58887,FLEETPARTN...,FLEET PARTNERS PTY LIMITED,En,1,2,320,0.00%,0.00%,0.00%,0
28467,17836,IBKS-AS-KR,IBK Securities,En,1,2,320,0.00%,0.00%,0.00%,0
28467,132713,VIRGIN-AS-AP,Virgin Australia Airlines Pty Ltd,En,1,2,320,0.00%,0.00%,0.00%,0
28467,22510,BRAINTREEP...,"Braintree Payment Solutions, LLC",Co,1,2,320,0.00%,0.00%,0.00%,0
28467,22951,JCPL-ASN,"Jamison Capital Partners, LP",Tr/Ac,1,2,320,0.00%,0.00%,0.00%,0
28477,21781,DALTONSCHOOL,The Dalton School,En,1,2,288,0.00%,0.00%,0.00%,0
28477,8188,BLOOMBERG,Bloomberg Financial Market,En,1,2,288,0.00%,0.00%,0.00%,0
28477,5,SYMBOLICS,"Symbolics, Inc.",En,1,2,288,0.00%,0.00%,0.00%,0
28477,38677,HIPLUS-AS-KR,Hi-Plus Card Corporation,En,1,2,288,0.00%,0.00%,0.00%,0
28477,53799,NAHB1201,NAHB,En,1,2,288,0.00%,0.00%,0.00%,0
28482,46700,GENBAND-NUVIA,GENBAND US LLC,En,1,2,272,0.00%,0.00%,0.00%,0
28482,31014,DELTASTOCK-AS,Delta Stock AD,En,1,2,272,0.00%,0.00%,0.00%,0
28482,49950,MVR-BG,Ministry of Interior,En,1,2,272,0.00%,0.00%,0.00%,0
28482,39943,ST-FRANCIS...,St. Francis College,En,1,2,272,0.00%,0.00%,0.00%,0
28486,45362,TRUSTONASS...,TRUSTONASSET,En,1,2,264,0.00%,0.00%,0.00%,0
28486,56937,ISDD-AS,ISDD plus s.r.o.,En,1,2,264,0.00%,0.00%,0.00%,0
28486,55599,ACTS-AS-KR,ACTS,En,1,2,264,0.00%,0.00%,0.00%,0
