,Malware,Phishing,Exploits,Fraudlent Services,Unwanted Programs,Spammers,Unlabelled
133982,1,0,0,0,0,0,0
11280,1,0,0,0,0,0,0
11282,57,9,3,32,0,0,0
41066,49,0,0,37,0,0,0
201426,8,0,1,0,0,0,0
17621,860,203,5,271,13,0,0
17623,1571,1057,6,268,58,0,0
17622,759,216,0,10,0,0,0
56820,6,0,0,0,0,0,0
56823,14,0,1,0,0,0,0
48447,2,0,0,0,0,0,0
41963,0,0,0,0,3,0,0
3741,182,25,15,4,37,0,0
41828,106,53,2,107,0,0,0
4621,120,10,0,0,0,0,0
13535,14,0,0,30,3,0,0
13536,0,2,0,0,0,0,0
41820,1795,0,0,0,0,0,0
41822,5,0,0,0,0,0,0
41823,4,0,0,0,0,0,0
41824,564,0,0,0,0,0,0
393980,0,1,0,0,0,0,0
39647,7,0,0,0,8,0,0
11755,0,0,1,0,0,0,0
11753,1,0,0,0,0,0,0
43689,51,0,3,0,0,0,0
57668,188,0,3,0,0,0,0
28255,7,0,0,0,0,0,0
53674,1,0,0,0,0,0,0
51102,6,0,0,0,0,0,0
16397,823,102,24,73,3,0,0
262868,0,4,0,0,0,0,0
51109,111,31,2,17,3,0,0
20731,1,0,0,0,0,0,0
20730,3,0,0,0,0,0,0
36327,0,1,0,0,0,0,0
52106,1,0,0,0,0,0,0
20880,0,1,0,0,0,0,0
20738,2078,329,381,1250,32,5,0
20888,0,1,0,0,0,0,0
25540,32,4,4,6,0,0,0
25543,1,0,0,0,0,0,0
25542,97,7,0,14,11,0,0
13287,119,18,2,2,0,0,0
13285,171,4,1,7,13,1,0
174,11274,2567,246,1501,536,0,0
25549,29,3,0,0,0,0,0
60011,24,14,0,22,0,0,0
394561,0,0,0,0,10,0,0
262192,1,0,0,0,0,0,0
45053,4,0,0,0,0,0,0
46652,4347,8,2,248,145,0,0
46650,3,0,0,0,0,0,0
42487,1,0,0,0,0,0,0
200557,1,0,0,3,0,0,0
42484,58,0,2,0,0,0,0
42335,203,0,0,0,0,0,0
42334,57,0,0,0,0,0,0
42337,31,34,0,13,0,0,0
42336,16,0,1,0,0,0,0
42331,535,34,19,33,0,2,0
42330,4,0,0,0,0,0,0
45652,28,7,0,2,0,0,0
48559,16,6,0,0,0,0,0
48558,1,0,0,0,0,0,0
41356,1,0,0,0,0,0,0
41357,37,2,5,18,0,0,0
48220,0,0,0,4,0,0,0
48551,10,2,0,0,0,0,0
45302,20,0,0,0,0,0,0
394569,0,2,0,0,0,0,0
10392,1,0,0,0,0,0,0
10396,39,0,0,2,0,0,0
35116,4,2,0,0,0,0,0
57088,0,0,0,8,0,0,0
16936,2,2,0,0,0,0,0
32013,0,1,0,0,0,0,0
198156,40,18,0,2373,0,0,0
28408,0,2,0,0,0,0,0
202954,4,0,0,0,0,0,0
133752,4,2,0,0,0,0,0
44652,1,0,1,0,0,0,0
56839,45,0,0,0,0,0,0
12223,0,2,0,0,0,0,0
12220,1,0,0,0,0,0,0
55832,7,0,0,0,0,0,0
54415,2,0,0,0,0,0,0
42154,100,0,0,21,0,0,0
12229,0,0,0,0,2,0,0
49858,3,5,0,0,0,0,0
15879,119,85,8,29,48,0,0
59627,33,4,0,0,0,0,0
196645,1135,637,12,73,2,0,0
6813,6,2,7,0,0,0,0
15703,69,4,5,15,4,0,0
41176,20,2,0,2,0,0,0
203393,32,7,0,1,0,0,0
41175,85,3,2,0,0,0,0
9757,25,0,0,0,0,0,0
9756,4,0,0,80,0,1,0
29370,1,0,0,0,0,0,0
29371,147,0,90,129,0,0,0
53508,48,0,0,0,0,0,0
57888,19,0,0,0,0,0,0
9758,3,0,1,0,0,0,0
24147,4,0,0,0,0,0,0
21424,4,0,0,0,0,0,0
49792,22,0,0,0,0,0,0
18931,3,0,0,0,0,0,0
24141,0,4,0,0,0,0,0
49798,93,0,0,3,0,0,0
200732,15,0,0,55,0,0,0
8847,2,0,0,0,0,0,0
59958,2,0,0,0,0,0,0
30620,1,0,0,0,0,0,0
37076,43,0,5,0,0,0,0
21193,2,1,0,0,0,0,0
197664,6,0,0,0,0,0,0
197667,2,0,0,0,0,0,0
11844,15,0,0,0,0,0,0
58683,25,8,1,58,2,0,0
204116,0,0,0,0,6,0,0
37168,11,0,0,0,0,0,0
58688,1,0,0,0,0,0,0
13174,4,0,0,0,0,0,0
41682,16,1,6,0,0,0,0
1761,2,0,0,0,0,0,0
1767,1,0,0,0,0,0,0
1764,54,2,1,0,5,0,0
29596,1,0,0,0,0,0,0
54057,718,0,0,0,0,0,0
202048,33,9,1,0,0,0,0
18313,8,0,0,0,0,0,0
24554,10,0,0,0,0,0,0
24557,494,41,7,42,1,2,0
24559,10,0,10,0,0,0,0
262901,1,0,0,0,0,0,0
1547,2,0,0,0,0,0,0
58539,482,481,2,0,6,0,0
262907,2,0,0,0,0,0,0
28358,1,0,0,0,0,0,0
11110,4,0,0,0,0,0,0
47688,13,0,0,0,0,0,0
699,0,0,3,0,0,0,0
11115,6,2,0,0,0,0,0
28352,1,0,0,0,0,0,0
34601,0,2,0,0,0,0,0
34300,478,5,3,107,0,25,0
30336,12,0,0,0,0,0,0
34302,2,0,0,0,0,0,0
