,Shannon Entropy,Entropy
393559,0.330541705186,13.3368947812
262488,-0.0,-0.0
196953,-0.0,-0.0
196954,0.493798023877,13.3806885687
262492,0.386852807235,2.0
196957,0.110793466844,4.39592867633
131423,-0.0,-0.0
262496,-0.0,-0.0
262498,-0.0,-0.0
131427,-0.0,-0.0
262500,0.56477972906,11.1197677422
393573,-0.0,-0.0
262502,-0.0,-0.0
262505,-0.0,-0.0
262506,-0.0,-0.0
33132,-0.0,-0.0
262509,-0.0,-0.0
196977,0.386852807235,2.0
131442,-0.0,-0.0
33139,0.41997628698,14.9573151631
262518,0.327026382931,2.33390073655
262519,-0.0,-0.0
376,0.365831343525,2.11150831522
133774,0.216639845588,25.9820679203
378,-0.0,-0.0
10986,-0.0,-0.0
33152,-0.0,-0.0
131459,-0.0,-0.0
262532,-0.0,-0.0
262535,-0.0,-0.0
197002,-0.0,-0.0
131472,0.355245321276,2.16992500144
262545,0.440131052113,6.31208583395
262549,-0.0,-0.0
197015,-0.0,-0.0
33176,-0.0,-0.0
197019,0.696068853765,15.1153575992
197021,-0.0,-0.0
33182,0.511705803356,32.5717998236
197023,-0.0,-0.0
262560,-0.0,-0.0
262561,-0.0,-0.0
197028,-0.0,-0.0
262566,-0.0,-0.0
10993,0.0795340389378,5.00150202517
393640,-0.0,-0.0
393642,-0.0,-0.0
197035,-0.0,-0.0
328110,0.450986833074,6.66915762814
262575,-0.0,-0.0
72,-0.0,-0.0
33203,0.355245321276,2.16992500144
197045,-0.0,-0.0
43764,0.428351440515,7.41286566222
262586,-0.0,-0.0
33211,-0.0,-0.0
393667,0.117217153096,12.0364839304
262596,-0.0,-0.0
393670,-0.0,-0.0
197064,-0.0,-0.0
32844,-0.0,-0.0
262603,0.317256858418,14.773852876
197068,0.70252021485,24.0009375477
197071,0.579132630937,11.0472727317
262609,0.386852807235,2.0
197074,0.369225473352,2.09310940439
5539,0.716186989261,8.61798497615
197078,-0.0,-0.0
262615,-0.0,-0.0
262617,-0.0,-0.0
262618,-0.0,-0.0
393691,-0.0,-0.0
197088,-0.0,-0.0
262625,-0.0,-0.0
33251,0.185857031705,9.54089725564
8745,-0.0,-0.0
262630,-0.0,-0.0
262631,-0.0,-0.0
33260,0.598062933797,4.87347259472
262638,-0.0,-0.0
197103,-0.0,-0.0
393713,-0.0,-0.0
196691,0.142167824378,3.93317202476
262644,-0.0,-0.0
197109,-0.0,-0.0
262651,-0.0,-0.0
262652,-0.0,-0.0
131582,-0.0,-0.0
197119,-0.0,-0.0
43776,-0.0,-0.0
262659,-0.0,-0.0
393915,-0.0,-0.0
33287,0.319395939371,2.38049198738
197129,-0.0,-0.0
262666,-0.0,-0.0
31660,0.355245321276,2.16992500144
131596,0.138597228588,3.98068363159
197133,0.533578528472,5.50750102159
262671,0.386852807235,2.0
262672,0.524310490326,5.62802249886
262675,-0.0,-0.0
262676,0.210279430765,3.19264507794
33302,0.702656271937,8.77280941016
131607,-0.0,-0.0
262680,-0.0,-0.0
197145,0.282052520613,17.0922785937
262683,-0.0,-0.0
262686,-0.0,-0.0
11013,0.476858080716,6.38049198738
197153,-0.0,-0.0
262690,-0.0,-0.0
262691,-0.0,-0.0
262692,-0.0,-0.0
197157,-0.0,-0.0
197160,-0.0,-0.0
553,0.279279910129,2.64385618977
33322,0.571998753073,13.3826317846
