,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
13285,1.0,7.0,154.0,4.0,1.0,13.0
1887,13.0,5.0,139.0,15.0,4.0,0.0
7490,0.0,0.0,5.0,1.0,1.0,0.0
7497,721.0,256.0,800.0,91.0,51.0,2.0
30990,0.0,0.0,3.0,0.0,1.0,0.0
47257,1.0,0.0,0.0,0.0,1.0,0.0
45470,0.0,1793.0,26.0,6.0,1.0,0.0
42331,19.0,33.0,247.0,34.0,2.0,0.0
57062,57.0,153.0,178.0,843.0,1.0,13.0
57311,3.0,9.0,118.0,13.0,1.0,4.0
53340,4.0,216.0,535.0,78.0,1.0,27.0
23338,4.0,78.0,192.0,26.0,2.0,2.0
54489,15.0,491.0,309.0,137.0,1.0,12.0
44784,8.0,0.0,0.0,0.0,22.0,0.0
62370,122.0,139.0,797.0,279.0,44.0,78.0
17055,0.0,0.0,0.0,0.0,1.0,0.0
9584,2.0,11.0,125.0,19.0,1.0,2.0
49314,185.0,24.0,190.0,0.0,4.0,0.0
23724,327.0,32.0,1938.0,2954.0,1.0,445.0
12578,37.0,9.0,168.0,58.0,2.0,0.0
13213,29.0,411.0,1120.0,300.0,2.0,60.0
50134,51.0,0.0,133.0,0.0,1.0,0.0
53292,21.0,27.0,238.0,46.0,2.0,0.0
133618,315.0,2279.0,5754.0,613.0,8.0,296.0
42655,10.0,79.0,664.0,146.0,5.0,4.0
43215,1.0,2.0,35.0,0.0,20.0,0.0
28895,0.0,0.0,0.0,0.0,1.0,0.0
48031,53.0,90.0,410.0,25.0,4.0,4.0
196763,75.0,66.0,623.0,83.0,8.0,17.0
16509,20105.0,25724.0,658144.0,435904.0,45.0,265281.0
19324,354.0,10865.0,8217.0,768.0,21.0,371.0
53665,735.0,1771.0,3952.0,1021.0,48.0,106.0
9756,0.0,80.0,4.0,0.0,1.0,0.0
53667,5.0,126.0,473.0,171.0,5.0,0.0
20013,533.0,12550.0,56773.0,13922.0,19.0,145.0
22298,8.0,50.0,40.0,0.0,2.0,0.0
4766,1513.0,739.0,9072.0,2016.0,29.0,65.0
32592,62.0,408.0,1111.0,74.0,13.0,85.0
12616,5.0,9.0,118.0,7.0,1.0,0.0
38735,0.0,0.0,11.0,3.0,4.0,0.0
51699,3.0,1.0,34.0,0.0,1.0,0.0
50477,0.0,0.0,6.0,0.0,1.0,0.0
20495,90.0,74.0,252.0,16.0,1.0,4.0
55707,0.0,0.0,0.0,0.0,1.0,0.0
55663,0.0,0.0,12.0,0.0,2.0,0.0
19551,195.0,1272.0,5079.0,1644.0,37.0,432.0
56694,6.0,121.0,146.0,42.0,3.0,4.0
29873,263.0,2760.0,3961.0,1019.0,7.0,108.0
198209,3.0,3.0,9.0,0.0,2.0,0.0
42473,89.0,115.0,117.0,8.0,3.0,9.0
35415,267.0,796.0,4373.0,582.0,9.0,1406.0
62150,263.0,234.0,1899.0,11.0,4.0,1.0
41671,24.0,35.0,17.0,0.0,1.0,0.0
38186,1.0,327.0,432.0,48.0,1.0,2.0
197068,3.0,57.0,56.0,25.0,1.0,148.0
45899,509.0,117.0,15203.0,484.0,4.0,46.0
25761,236.0,137.0,6278.0,1195.0,5.0,11.0
37943,78.0,290.0,1268.0,2342.0,2.0,0.0
29802,41.0,9864.0,1567.0,384.0,3.0,167.0
133481,17.0,97.0,325.0,9.0,5.0,9.0
30058,80.0,128.0,647.0,1.0,8.0,0.0
49536,6.0,29.0,17.0,0.0,1.0,0.0
15456,356.0,654.0,1731.0,155.0,38.0,48.0
3491,65.0,105.0,3958.0,16408.0,1.0,2305.0
13368,0.0,0.0,2.0,0.0,1.0,0.0
14571,1.0,0.0,173.0,0.0,13.0,217.0
16276,16725.0,18954.0,53061.0,16682.0,104.0,4754.0
24557,7.0,42.0,308.0,41.0,2.0,1.0
56815,0.0,0.0,28.0,0.0,1.0,0.0
30836,38.0,125.0,485.0,34.0,1.0,1.0
56813,67.0,54.0,388.0,59.0,12.0,48.0
43671,0.0,2.0,0.0,0.0,1.0,0.0
24965,62.0,5.0,95.0,0.0,5.0,0.0
58060,0.0,0.0,0.0,0.0,1.0,0.0
20115,21.0,26.0,11615.0,48.0,1.0,0.0
200000,38.0,267.0,1002.0,207.0,11.0,0.0
9371,67.0,1277.0,1834.0,281.0,2.0,33.0
28907,14.0,128.0,236.0,171.0,1.0,12.0
12824,130.0,105.0,4565.0,1319.0,2.0,6.0
51441,29.0,128.0,88.0,0.0,7.0,0.0
4230,6.0,12.0,157.0,1818.0,1.0,27.0
198610,59.0,888.0,2796.0,677.0,1.0,0.0
12389,22.0,62.0,1835.0,76.0,2.0,7.0
60592,38.0,151.0,677.0,17.0,2.0,36.0
29600,8.0,0.0,59.0,0.0,2.0,0.0
42005,3.0,189.0,119.0,46.0,2.0,21.0
48505,0.0,6.0,130.0,12.0,2.0,0.0
15884,0.0,2.0,0.0,0.0,1.0,0.0
48669,3.0,114.0,37.0,0.0,1.0,0.0
49365,17.0,0.0,186.0,0.0,2.0,0.0
26415,26.0,360.0,1226.0,125.0,2.0,79.0
43350,151.0,1355.0,4047.0,1951.0,10.0,294.0
47142,18.0,26.0,76.0,0.0,2.0,0.0
18978,96.0,1176.0,1761.0,788.0,4.0,6.0
21740,548.0,3442.0,10398.0,1617.0,15.0,395.0
21747,0.0,0.0,0.0,0.0,1.0,0.0
9918,0.0,3.0,60.0,0.0,1.0,0.0
39087,0.0,0.0,0.0,0.0,1.0,0.0
199959,0.0,0.0,1.0,0.0,2.0,0.0
50108,45.0,1.0,79.0,0.0,2.0,0.0
32421,156.0,645.0,2244.0,320.0,5.0,100.0
6870,16.0,295.0,224.0,18.0,11.0,1.0
44565,317.0,71.0,306.0,13.0,9.0,0.0
201094,115.0,47.0,95.0,13.0,9.0,0.0
16125,27.0,821.0,1070.0,208.0,2.0,19.0
6805,2.0,12.0,53.0,4.0,1.0,53.0
5483,11.0,5.0,506.0,565.0,2.0,13.0
27257,486.0,982.0,4318.0,812.0,18.0,238.0
9394,132.0,30.0,276.0,1306.0,5.0,11.0
39608,13.0,11.0,2838.0,28.0,1.0,0.0
132840,0.0,0.0,2.0,0.0,2.0,0.0
4755,6.0,21.0,257.0,33.0,2.0,3.0
38661,16.0,16.0,203.0,180.0,1.0,0.0
15830,10.0,16.0,193.0,34.0,2.0,63.0
44107,131.0,0.0,78.0,0.0,1.0,0.0
15836,27.0,86.0,124.0,16.0,9.0,0.0
51219,1.0,0.0,4.0,0.0,2.0,0.0
133165,33.0,1424.0,759.0,452.0,4.0,29.0
32392,104.0,305.0,2148.0,573.0,2.0,1.0
40034,10200.0,16216.0,49266.0,8976.0,642.0,1168.0
8219,0.0,6.0,6.0,0.0,1.0,0.0
25133,8.0,3.0,164.0,71.0,1.0,4.0
18059,3.0,15.0,268.0,131.0,1.0,2.0
250,2.0,0.0,7.0,1.0,14.0,0.0
7796,14.0,92.0,118.0,0.0,17.0,0.0
17964,98.0,64.0,235.0,205.0,22.0,7.0
58477,2.0,100.0,151.0,20.0,2.0,0.0
34221,13.0,2.0,138.0,76.0,1.0,1.0
34224,4.0,72.0,400.0,43.0,15.0,0.0
34229,20.0,0.0,47.0,0.0,2.0,0.0
11427,13.0,12.0,2976.0,23.0,1.0,0.0
11426,24.0,4.0,3076.0,3601.0,2.0,41.0
23520,4.0,0.0,22.0,0.0,1.0,0.0
17444,288.0,449.0,2085.0,1047.0,9.0,8.0
7296,4.0,50.0,108.0,20.0,1.0,54.0
