,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unlabelled,Unwanted Programs,Totals
2013-06-17,42.0,38.0,14722.0,2091.0,12.0,0.0,433.0,17338.0
2013-06-18,17.0,51.0,10515.0,3050.0,9.0,0.0,448.0,14090.0
2013-06-19,10.0,25.0,7762.0,3751.0,8.0,0.0,153.0,11709.0
2013-06-20,26.0,36.0,12592.0,1844.0,5.0,0.0,144.0,14647.0
2013-06-21,156.0,40.0,7406.0,1094.0,16.0,0.0,518.0,9230.0
2013-06-22,26.0,25.0,6009.0,937.0,0.0,0.0,62.0,7059.0
2013-06-23,34.0,16.0,6946.0,2015.0,5.0,0.0,45.0,9061.0
2013-06-24,84.0,34.0,13670.0,2915.0,1.0,0.0,149.0,16853.0
2013-06-25,25.0,6.0,15314.0,2752.0,7.0,0.0,233.0,18337.0
2013-06-26,9.0,11.0,5975.0,1038.0,9.0,0.0,78.0,7120.0
2013-06-27,20.0,18.0,7421.0,958.0,0.0,0.0,52.0,8469.0
2013-06-28,16.0,15.0,4086.0,191.0,1.0,0.0,120.0,4429.0
2013-06-29,7.0,27.0,4806.0,496.0,5.0,0.0,79.0,5420.0
2013-06-30,20.0,18.0,6925.0,105.0,2.0,0.0,64.0,7134.0
2013-07-01,20.0,9.0,10105.0,1009.0,1.0,0.0,64.0,11208.0
2013-07-02,14.0,23.0,11362.0,273.0,1.0,0.0,319.0,11992.0
2013-07-03,14.0,19.0,9713.0,2687.0,0.0,0.0,48.0,12481.0
2013-07-04,8.0,18.0,5622.0,323.0,3.0,0.0,120.0,6094.0
2013-07-05,16.0,16.0,5250.0,664.0,1.0,0.0,46.0,5993.0
2013-07-06,17.0,17.0,6257.0,923.0,0.0,0.0,38.0,7252.0
2013-07-07,154.0,47.0,10273.0,80.0,2.0,0.0,49.0,10605.0
2013-07-08,35.0,18.0,8094.0,113.0,0.0,0.0,121.0,8381.0
2013-07-09,31.0,46.0,8861.0,970.0,1.0,0.0,120.0,10029.0
2013-07-10,62.0,19.0,13293.0,1128.0,1.0,0.0,128.0,14631.0
2013-07-11,19.0,27.0,7816.0,549.0,1.0,0.0,85.0,8497.0
2013-07-12,20.0,19.0,11166.0,3999.0,3.0,0.0,114.0,15321.0
2013-07-13,12.0,68.0,4181.0,59.0,0.0,0.0,58.0,4378.0
2013-07-14,5.0,10.0,6265.0,34.0,0.0,0.0,46.0,6360.0
2013-07-15,16.0,12.0,9952.0,105.0,0.0,0.0,94.0,10179.0
2013-07-16,70.0,28.0,13736.0,112.0,3.0,0.0,104.0,14053.0
2013-07-17,22.0,41.0,10611.0,1055.0,5.0,0.0,215.0,11949.0
2013-07-18,15.0,44.0,5407.0,986.0,3.0,0.0,193.0,6648.0
2013-07-19,39.0,111.0,4476.0,1036.0,5.0,0.0,103.0,5770.0
2013-07-20,60.0,57.0,3096.0,50.0,0.0,0.0,135.0,3398.0
2013-07-21,8.0,48.0,5527.0,972.0,8.0,0.0,35.0,6598.0
2013-07-22,25.0,29.0,6520.0,273.0,6.0,0.0,127.0,6980.0
2013-07-23,40.0,47.0,13064.0,1275.0,1.0,0.0,150.0,14577.0
2013-07-24,20.0,207.0,24567.0,201.0,11.0,0.0,174.0,25180.0
2013-07-25,41.0,27.0,9253.0,1283.0,8.0,0.0,129.0,10741.0
2013-07-26,13.0,26.0,7653.0,193.0,7.0,0.0,143.0,8035.0
2013-07-27,41.0,68.0,8036.0,658.0,5.0,0.0,42.0,8850.0
2013-07-28,17.0,60.0,4285.0,694.0,6.0,0.0,64.0,5126.0
2013-07-29,32.0,140.0,9248.0,207.0,2.0,0.0,115.0,9744.0
2013-07-30,25.0,25.0,5720.0,2382.0,3.0,0.0,125.0,8280.0
2013-07-31,91.0,84.0,3515.0,1009.0,7.0,0.0,86.0,4792.0
2013-08-01,10.0,28.0,11744.0,128.0,3.0,0.0,135.0,12048.0
2013-08-02,17.0,74.0,7985.0,293.0,2.0,0.0,188.0,8559.0
2013-08-03,375.0,124.0,8764.0,469.0,18.0,0.0,62.0,9812.0
2013-08-04,133.0,42.0,6148.0,120.0,9.0,0.0,48.0,6500.0
2013-08-05,23.0,18.0,4299.0,1007.0,0.0,0.0,237.0,5584.0
2013-08-06,84.0,84.0,4153.0,188.0,0.0,0.0,77.0,4586.0
2013-08-07,186.0,53.0,1613.0,1031.0,3.0,0.0,95.0,2981.0
2013-08-08,9.0,24.0,2194.0,68.0,0.0,0.0,82.0,2377.0
2013-08-09,106.0,76.0,5038.0,140.0,3.0,0.0,118.0,5481.0
2013-08-10,19.0,49.0,8097.0,39.0,7.0,0.0,134.0,8345.0
2013-08-11,18.0,24.0,8062.0,136.0,12.0,0.0,124.0,8376.0
2013-08-12,25.0,21.0,9102.0,1848.0,5.0,0.0,104.0,11105.0
2013-08-13,26.0,32.0,10024.0,2995.0,3.0,0.0,161.0,13241.0
2013-08-14,18.0,76.0,9478.0,994.0,3.0,0.0,259.0,10828.0
2013-08-15,32.0,32.0,7323.0,1014.0,12.0,0.0,348.0,8761.0
2013-08-16,14.0,25.0,6629.0,1048.0,42.0,0.0,207.0,7965.0
2013-08-17,23.0,29.0,8513.0,1016.0,10.0,0.0,203.0,9794.0
2013-08-18,13.0,21.0,23015.0,3397.0,4.0,0.0,148.0,26598.0
2013-08-19,10.0,101.0,56077.0,2559.0,3.0,0.0,131.0,58881.0
2013-08-20,17.0,31.0,14473.0,157.0,3.0,0.0,132.0,14813.0
2013-08-21,16.0,19.0,14684.0,936.0,2.0,0.0,105.0,15762.0
2013-08-22,15.0,16.0,11666.0,1007.0,1.0,0.0,119.0,12824.0
